DEFECTS,MAINTENANCE,TECHNICIANS,AGE,TOOL
860,26,5,6,18.3
890,27,2,7,10.2
852,20,3,5.2,14.7
889,28,3,4.3,13.1
1037,25,4,13.5,7.6
1257,21,6,13.2,8.4
1136,20,3,14.1,8.2
1038,25,4,13.9,8.3
1240,19,4,13.6,7.8
1439,15,5,17.1,4
1126,17,5,8.4,7.1
724,27,3,6.7,18.5
1023,19,6,6.3,7.3
960,22,4,12.3,15.7
890,25,3,8.7,10.2
952,21,4,6.7,9.7
989,26,3,5.3,14.1
1037,25,4,14.5,11.2
1321,20,6,12.3,4.4
1402,16,3,14.1,4.2
1038,25,4,13.9,8.3
941,19,4,8.6,9.8
767,26,5,7.1,17
826,24,5,7.4,16.1
724,27,3,6.7,16.5
823,23,6,6.3,16.3
