,Name,Review_score,Review_number,Rank,Sales,,,,,,,
0,"Antonio Rossi (12-Pack) Men's Fitted Boxer Hipsters | Mens Boxers Shorts Multipack with Elastic Waistband | Cotton Rich, Comfortable Mens Underwear",4.5 out of 5 stars,"19,222",#1,6311,,,,,,,
1,"Giovici Mens Bamboo Boxers, 3 Pack - Comfortable Boxer Briefs - Athletic Sport Underwear for Men with Cool Moisture Wicking Technology",4.5 out of 5 stars,"1,737",#2,3892,,,,,,,
2,"FM London (4/8-Pack) Mens Boxers with Elastic Waist | Soft Boxer Shorts Men with HyFresh Technology for Odour Protection, Stretch Fit Mens Underwear for Everyday Wear | Fitted Hipster Boxers for Men",4.5 out of 5 stars,"26,778",#3,1523,,,,,,,
3,"Smith and Jones Mens Boxers Shorts (5 Pack, 7 Pack) Multipacked Underwear Gift Set, Mens Boxers Trunk",4.4 out of 5 stars,"1,733",#4,327,,,,,,,
4,"FM London (5-Pack) Men's Bamboo Boxer Shorts | Super Soft Bamboo Boxers for Men with Elastic Waist | Comfort Fit, Tagless Mens Underwear  ",4.5 out of 5 stars,"3,186",#5,3511,,,,,,,
5,YOULEHE Men's Boxer Shorts Soft Bamboo Underwear Trunks Breathable Multipack,4.4 out of 5 stars,"4,057",#6,692,,,,,,,
6,"Kandor Mens Boxer Shorts (Pack of 5) Colorful Multi-Packed Underwear, Breathable Mens Boxers Trunks",4.5 out of 5 stars,"1,989",#7,71,,,,,,,
7,"Smith and Jones Mens Boxers Shorts (5 Pack) Multipacked Underwear Gift Set, Mens Boxers Trunk",4.4 out of 5 stars,716,#8,483,,,,,,Average,2827.631579
8,Bonjour Mens 6 pack Woven Boxer Shorts,3.8 out of 5 stars,701,#9,627,,,,,,,
9,FM London Men's Loose Fit Comfort Boxer Shorts (6-Pack),4.3 out of 5 stars,"1,558",#10,1159,,,,,,,
10,"Crosshatch Men's (5 Pack) Multipacked Boxer Shorts, Men's Multi-Color Boxer, Men's Gift set for your friends, boyfriend, or husband. Boxer shorts are available in sizes: S,M,L,XL,XXL",4.6 out of 5 stars,"3,666",#11,1362,,,,,,,
11,"Bench - Mens Everyday Breathable Underwear Essentials Multipack Boxer Jersey Shorts, Classic Fit 3 Pack Stretchy Soft Cotton Rich Casual Trunks, Underwear Gift Set, S, M, L, XL, XXL",4.4 out of 5 stars,403,#12,222,,,,,,,
12,INNERSY Mens Long Leg Boxers Shorts Anti Chafing Underwear Trunks with Fly Mesh Underpants Pack of 3,4.6 out of 5 stars,749,#13,505,,,,,,,
13,wirarpa Men's Underwear Trunks Cotton Stretch Boxer Shorts Open Fly Tagless Underpants for Men Regular Leg 4 Pack,4.7 out of 5 stars,"1,565",#14,267,,,,,,,
14,"Under Armour Tech 6in 2 Pack, Men's Boxer Briefs Offering Complete Comfort, Fast-Drying Men's Underwear Men",4.7 out of 5 stars,"12,510",#15,1040,,,,,,,
15,KANDOR Men's (6 Pack) Woven Boxers for Men Loose Fit Plaid Cotton Boxer Shorts Underwear,4.0 out of 5 stars,90,#16,135,,,,,,,
16,"Sockstack 6 Pairs Men's Plain Jersey Boxer Shorts Underwear, Classic Cotton Rich Boxers",3.8 out of 5 stars,"2,550",#17,1077,,,,,,,
17,"Boxer Gifts Old Age Emergency Pants | Funny Gift for Retirement Birthday Christmas Secret Santa Boxer Briefs, Clear, One Size",4.4 out of 5 stars,"2,960",#18,28149,,,,,,,
18,Charles Wilson 6 Pack Woven Boxer Shorts,4.4 out of 5 stars,"9,729",#19,492,,,,,,,
19,"DANISH ENDURANCE 3 Pack Men's Cotton Boxer Shorts, Stretchy Soft, Classic Fit Underwear, Trunks",4.2 out of 5 stars,"21,408",#20,1951,,,,,,,
20,Pierre Calvini (6/12-Pack) Mens Boxers with Elastic Waistband | Men's Button Fly Boxer Shorts in Stretch Fit Design | Breathable Mens Underwear Suitable for any Occasion | Mens Boxers Shorts Multipack,4.3 out of 5 stars,"13,069",#21,,,,,,,,
21,Sockstack 12 Pairs Mens Boxer Shorts Designer Black Fashion Band Underwear,3.9 out of 5 stars,"6,715",#22,,,,,,,,
22,Under Armour Men's Charged Cotton 6in 3pk Boxer Jock,4.7 out of 5 stars,"8,577",#23,,,,,,,,
23,Sock Stack Days of The Week Boxer Shorts 7 Pairs Men's Comfort Fit Boxers Underwear Black Boxershort Trunks,4.4 out of 5 stars,303,#24,,,,,,,,
24,"Bench - Mens Everyday Essentials Multipack Breathable Cotton Boxer Jersey Shorts, Classic Fit 7, 9 & 10 Pack Casual Trunks, Underwear Gift Set, S, M, L, XL, XXL",4.5 out of 5 stars,339,#25,,,,,,,,
25,Arcweg Men's Swimming Trunks Shorts Sport Boxer Swimwear Boxers Underwear Drawstring Summer Beach Board Shorts Elastic Swimsuit Bottom,4.3 out of 5 stars,"5,630",#26,,,,,,,,
26,"Crosshatch Men's (5 Pack) Multipacked Boxer Shorts, Men's Multi-Color Boxer, Men's Gift set for your friends, boyfriend, or husband. Boxer shorts are available in sizes: S,M,L,XL,XXL",4.6 out of 5 stars,"2,061",#27,,,,,,,,
27,INNERSY Mens Boxer Shorts Multipack Open Fly Pants Underwear Breathable Mesh Underpants Pack of 4,4.6 out of 5 stars,989,#28,,,,,,,,
28,KANDOR Men's (5-Pack) Super Soft Bamboo Boxer Shorts Breathable Soft Trunk Underwear,4.5 out of 5 stars,145,#29,,,,,,,,
29,Pringle Mens Cotton Button Boxer Pack of 3,4.7 out of 5 stars,"2,518",#30,,,,,,,,
