,Name,Review_score,Review_number,Rank,Sales,,,,
0,Calvin Klein Men's Boxer Briefs (Pack of 3),4.6 out of 5 stars,"4,835",#1,2428,,,,
1,"STEP ONE | Mens Bamboo Boxer Brief (Longer) | Anti Chafe, Moisture Wicking Underwear for Men",4.6 out of 5 stars,"1,447",#2,3821,,,,
2,"New Balance Men's 6"" Boxer Brief Fly Front with Pouch, 3-Pack of 6 Inch Tagless Underwear",4.6 out of 5 stars,"57,574",#3,34,,,,
3,wirarpa Men's Modal Briefs Underwear Soft Microfibre Underpants No Front Silky Touch Slips Covered Waistband Multipack,4.5 out of 5 stars,"14,441",#4,16,,,Average,1246.545455
4,Calvin Klein Men's Hip Briefs (Pack of 3),4.7 out of 5 stars,"10,638",#5,394,,,,
5,Under Armour Men's Charged Cotton 6in 3pk Boxer Jock,4.7 out of 5 stars,"8,577",#6,401,,,,
6,"Fruit of the Loom Men's Slip Classic Underpants, Opaque (pack of 3)",4.4 out of 5 stars,"5,591",#7,1410,,,,
7,"Amazon Essentials Men's Brief, Pack of 7",4.3 out of 5 stars,"12,121",#8,3060,,,,
8,INNERSY Men's Underwear Briefs Multipack Soft Underpants Classic Midi Hipster Pants Pack of 4,4.5 out of 5 stars,393,#9,155,,,,
9,New Balance Men's Nb3017-4 Performance 5闂?No Fly Boxer Briefs 4-Pack,4.5 out of 5 stars,"11,054",#10,10,,,,
10,Fruit of the Loom Men's Underwear Classic Slip - 3-Pack,4.3 out of 5 stars,"2,315",#11,995,,,,
11,wirarpa Mens Briefs Underpants Cotton Soft Wide Waistband Underwear Basic No Fly,4.4 out of 5 stars,"3,748",#12,157,,,,
12,"Sock Stack Mens Striped Slip Briefs Cotton Stretch Underwear Pants Comfort Fit Brief Trunk for Men, 6 Pairs",4.1 out of 5 stars,185,#13,51,,,,
13,"DANISH ENDURANCE 6 Pack Men闂佺偨鍎查悰?Cotton Briefs, Classic Stretch Underwear Pants, Comfortable, Tag-free",4.2 out of 5 stars,"4,873",#14,656,,,,
14,Natural Feelings Mens Underwear Briefs Soft Cotton Mens Briefs Classic Low Rise Stretch Waistband Mens Underpants,4.4 out of 5 stars,"1,447",#15,235,,,,
15,Arjen Kroos Men's Jock Strap Briefs Athletic Supporter Sports Jockstraps Underwear,4.5 out of 5 stars,61,#16,,,,,
16,BOSS Mens Brief 3P CO/EL Three-Pack of Stretch-Cotton Briefs with Logo waistbands,4.6 out of 5 stars,569,#17,,,,,
17,Calvin Klein Men's Briefs (Pack of 3),4.5 out of 5 stars,"1,359",#18,,,,,
18,6 Mens Gents Undercover 100% Cotton Y Fronts Briefs Blue or White M L XL 2XL 3XL 4XL 5XL,4.2 out of 5 stars,543,#19,,,,,
19,Jockey UK Classic Cotton Rib Y-Front Brief 3-Pack,4.5 out of 5 stars,"1,190",#20,,,,,
20,Tommy Hilfiger Men's Boxer Briefs (Pack of 3),4.6 out of 5 stars,"4,847",#21,,,,,
21,Sock Stack Y Fronts Pack of 12 Men's Y-Front Briefs 100% Cotton Underwear Trad Brief,4.1 out of 5 stars,561,#22,,,,,
22,Arjen Kroos Men's Sexy Low Rise Briefs Breathable Mesh Underwear,4.4 out of 5 stars,78,#23,,,,,
23,KNITLORD Men's Briefs Slips Underwear Bamboo Pants Tag-Free Classic Underpants 3 or 4 Pack,4.5 out of 5 stars,"4,541",#24,,,,,
24,Separatec Men's Boxer Briefs Smooth Bamboo Rayon with Separated Pouches Underwear 3 Pack Boxer Shorts Stylish multicolours Trunks,4.2 out of 5 stars,"2,061",#25,,,,,
25,Calvin Klein Men闂佺偨鍎查悰?3-Pack of Briefs Hip Briefs 3 PK with Stretch,4.6 out of 5 stars,183,#26,,,,,
26,Junlan Men Tummy Control Shorts High Waist Slimming Body Shaper Compression Underwear Pants Seamless Girdle Boxer Briefs,3.6 out of 5 stars,64,#27,,,,,
27,Comfneat Men's 6-Pack Boxer Shorts Cotton Spandex Soft Trunks Tag Free Underwear,4.5 out of 5 stars,"5,706",#28,,,,,
28,"Sockstack 6 Pairs Men's White Y-Fronts Underpants, 100% Pure Cotton Trad Briefs Underwear, M L XL XXL",4.1 out of 5 stars,"1,588",#29,,,,,
