,Name,Review_score,Review_number,Rank,,,,,,,
0,Calvin Klein Men's Trunk (Pack of 3),4.6 out of 5 stars,"26,040",#1,,,,,,,
1,"Heatwave閹?Pack of 2 Men's Thermal Trousers Long Johns Warm Underwear Baselayer, S M L XL XXL Thermals",4.1 out of 5 stars,"11,805",#2,,,,,,,
2,UNIQUEBELLA Mens Thermal Underwear Set Long Sleeve Tops Long Johns Thermal Base Layer Bottom Fleece Lined Quick Drying,4.5 out of 5 stars,"11,483",#3,,,,,,,
3,"Antonio Rossi (12-Pack) Men's Fitted Boxer Hipsters | Mens Boxers Shorts Multipack with Elastic Waistband | Cotton Rich, Comfortable Mens Underwear",4.5 out of 5 stars,"19,208",#4,,,,,,,
4,"Heatwave閹?Pack of 2 Men's Thermal Long Sleeve Top, Warm Underwear Baselayer, S M L XL XXL Thermals",4.2 out of 5 stars,"8,366",#5,,Trunk,,,,,
5,Calvin Klein Men's Boxer Briefs (Pack of 3),4.6 out of 5 stars,"4,826",#6,,,,,,,
6,"FM London (4/8-Pack) Mens Boxers with Elastic Waist | Soft Boxer Shorts Men with HyFresh Technology for Odour Protection, Stretch Fit Mens Underwear for Everyday Wear | Fitted Hipster Boxers for Men",4.4 out of 5 stars,"26,748",#7,,,,,,,
7,Calvin Klein Men's 3 Pack Low Rise Trunks - Cotton Stretch Boxers,4.5 out of 5 stars,"24,718",#8,,,,,,,
8,"Giovici Mens Bamboo Boxers, 3 Pack - Comfortable Boxer Briefs - Athletic Sport Underwear for Men with Cool Moisture Wicking Technology",4.5 out of 5 stars,"1,731",#9,,,,,,,
9,"Smith and Jones Mens Boxers Shorts (5 Pack, 7 Pack) Multipacked Underwear Gift Set, Mens Boxers Trunk",4.4 out of 5 stars,"1,727",#10,, Percentage of top 50 male underwear types,,,,Sales of five types of underwear in the past three months,
10,FM London Men's Super Soft Bamboo Boxer Shorts (Pack of 5),4.5 out of 5 stars,"3,175",#11,,Types,Number,Percentage,,Types,Average number
