,Name,Review_score,Review_number,Rank,Sales,,,,
0,Calvin Klein Men's Trunk (Pack of 3),4.6 out of 5 stars,"26,073",#1,2744,,,,
1,"HIKARO Boxer Shorts Men's Fitted Boxer Sports Trunks 6 Pack Underwear for Men Soft Cotton Boxer Briefs Breathable, Soft, Quick Dry",4.5 out of 5 stars,"2,510",#2,329,,,,
2,Calvin Klein Men's 3 Pack Low Rise Trunks - Cotton Stretch Boxers,4.5 out of 5 stars,"24,744",#3,4965,,,,
3,Calvin Klein Men's Boxer Briefs (Pack of 3),4.6 out of 5 stars,"4,835",#4,2428,,,Average,1830.357143
4,wirarpa Mens Mirco Modal Underwear Trunks Soft Boxer Shorts Gents Microfibre Underpants Multipack,4.4 out of 5 stars,"15,743",#5,14,,,,
5,wirarpa Men's Underwear Trunks Cotton Stretch Boxer Shorts Open Fly Tagless Underpants for Men Regular Leg 4 Pack,4.7 out of 5 stars,"1,565",#6,267,,,,
6,"DANISH ENDURANCE 6 Pack Bamboo Viscose Boxer Briefs, Breathable Men's Underwear",4.4 out of 5 stars,"2,551",#7,925,,,,
7,"STEP ONE | Mens Bamboo Trunk (Shorter) | Anti Chafe, Moisture Wicking Underwear for Men",4.5 out of 5 stars,357,#8,147,,,,
8,Under Armour Men's Charged Cotton 6in 3pk Boxer Jock,4.7 out of 5 stars,"8,577",#9,401,,,,
9,Emporio Armani Men's Trunk (Pack of 3),4.6 out of 5 stars,"2,515",#10,1013,,,,
10,"DANISH ENDURANCE 3 Pack Bamboo Boxer Shorts for Men, Breathable Underwear, Soft Antibacterial Pants",4.2 out of 5 stars,"13,748",#11,1416,,,,
11,"QINCAO Boxer Shorts Mens 6 Pack, Cotton Underwear Retro Trunks Fitted Boxer Breathable Briefs S, M, L, XL, XXL, XXXL",4.3 out of 5 stars,"13,808",#12,1678,,,,
12,Tommy Hilfiger - Men's Boxer Shorts - Multipack Trunks For Men - 3 Pack Underwear Man - Signature Waistband Elastic,4.6 out of 5 stars,"13,337",#13,2449,,,,
13,"Calvin Klein Men's 3 Pack Classic Fit Trunks, Black",4.4 out of 5 stars,660,#14,5586,,,,
14,"DANISH ENDURANCE 6 Pack Men's Cotton Boxer Shorts, Classic Fit Underwear, Trunks",4.1 out of 5 stars,"12,775",#15,1277,,,,
15,Calvin Klein - Men's Underwear Multipack - Low Rise Trunks 3 Pack - Signature Waistband Elastic - Grey Heather,4.6 out of 5 stars,"9,412",#16,,,,,
16,Fullluwaa Boxer Shorts Mens (Pack of 6) Cotton Briefs Trunks Fitted Underwear Quick-Dry,4.3 out of 5 stars,"8,744",#17,,,,,
17,Calvin Klein Men閳ユ獨 3-Pack of Boxers 3 PK Low Rise Trunks with Stretch,4.6 out of 5 stars,298,#18,,,,,
18,"DANISH ENDURANCE 6 Pack Sports Boxer Briefs, Dry Fit, Pouch Support for Men",4.6 out of 5 stars,"2,693",#19,,,,,
19,Calvin Klein Men閳ユ獨 3-Pack of Boxers Trunks 3 PK with Stretch,4.7 out of 5 stars,388,#20,,,,,
20,wirarpa Men's Trunks Underwear Cotton Boxer Briefs Short Leg Soft Gents Underpants 1 Pack,4.4 out of 5 stars,"3,074",#21,,,,,
21,FM London (5-Pack) Mens Boxers with HyFresh Odour Protection Technology | Breathable Mens Underwear Suitable all Occasions | Tagless Mens Boxers Shorts Multipack Designed for a 24hr Wear | Super Soft,4.4 out of 5 stars,"8,331",#22,,,,,
22,Tommy Hilfiger - Mens Boxers - Mens Briefs - Tommy Hilfiger Boxers - Men's Boxer Brief - Pack of 3,4.6 out of 5 stars,"9,026",#23,,,,,
23,Niksa 3 Pack Mens Sports Underwear Gym Running Boxers Shorts Trunks Black,4.6 out of 5 stars,"2,929",#24,,,,,
24,Arjen Kroos Men's Sexy Low Rise Briefs Breathable Mesh Underwear,4.4 out of 5 stars,78,#25,,,,,
25,Reebok Men's Boxer Shorts,5.0 out of 5 stars,2,#26,,,,,
26,Arjen Kroos Men's Sexy Mesh Boxer Briefs Shorts Hipsters Trunk Underwear,4.3 out of 5 stars,996,#27,,,,,
27,Jack And Jones Mens Sense 3 Pack Trunks,4.4 out of 5 stars,"12,660",#28,,,,,
28,SIHOHAN Mens Boxers Briefs Micro Modal Extremely Soft Fabric Polyester Shorts Trunks,4.3 out of 5 stars,"4,439",#29,,,,,
29,BOSS Men's Boxer Shorts (Pack 3,4.6 out of 5 stars,"3,722",#30,,,,,
