,Name,Review_score,Review_number,Rank,Sales
0,Ayigedu Women's Underwire Bra Non-Padded Floral Lace Plus Size Full Coverage Minimizer,4.3 out of 5 stars,125,#1,13
1,DotVol Non Padded Plus Size Everyday Bra Women's Full Coverage Minimizer Bra Comfort Lace Wirefree,4.3 out of 5 stars,"1,019",#2,16
2,Lemorosy Full Coverage Non Padded Wireless Minimizer Bra Women's Plus Size Bras Comfort and Double Support for Large Bust,4.3 out of 5 stars,23,#3,0
3,WingsLove Women's Full Cup Minimizer Bra Wide Straps Non-Wired No Padding Bra Comfort Plus Size,4.2 out of 5 stars,"16,224",#4,67
4,Delimira Women's Minimiser Bra Seamless Plus Size Non Padded Underwired Bras,4.2 out of 5 stars,"2,997",#5,6
5,Delimira Women's Minimiser Full Coverage Underwire Seamless Support Minimizer Bra,4.2 out of 5 stars,"6,275",#6,15
6,Delimira Women's Beauty Lace Non Padded Minimiser Full Figure Underwire Bra,4.1 out of 5 stars,"23,701",#7,0
7,Triumph True Shape Sensation W01 Minimizer BH,4.1 out of 5 stars,"4,778",#8,238
8,Delimira Women's Minimiser Bra Plus Size Full Coverage Non Padded Lace Underwire,4.3 out of 5 stars,174,#9,30
9,Delimira Women's Minimiser Bra Full Coverage Smooth Support Underwired Bras,4.2 out of 5 stars,"3,961",#10,238
10,Triumph Women's Essential Minimizer W X Bra,4.5 out of 5 stars,"3,074",#11,23
11,Deyllo Women's Minimizer Bra Wireless Plus Size Bra Full Coverage Comfort Everyday Bra Non Padded,4.1 out of 5 stars,"9,234",#12,238
12,Ayigedu Women's Full Coverage Non Wired Non-Padded Minimizer Lace Plus Size Support Bra,4.5 out of 5 stars,203,#13,45
13,Delimira Women's Strapless Bras Underwire Non Padded Bandeau Seamless Minimizer Bra,4.1 out of 5 stars,"10,855",#14,40
14,Triumph Women's Minimizer Everyday Bra,4.5 out of 5 stars,"2,836",#15,238
15,Glamorise Women's Full Figure MagicLift Wirefree Minimizer Support Bra #1003,4.2 out of 5 stars,41,#16,
16,Curve Muse Plus Size Unlined Minimizer Wireless Bras with Embroidery Lace-2or3PK,4.1 out of 5 stars,740,#17,
17,Amazon Aware Women's Low Cut Support Padded Bralette,4.3 out of 5 stars,25,#18,
18,DotVol Womens Minimizer Strapless Bra Seamless Bandeau Unlined Underwire for Large Bust,4.1 out of 5 stars,127,#19,
19,Delimira Women's Non-Padded Minimizer Bra Full Coverage Smooth Underwire Plus Size,4.2 out of 5 stars,"2,039",#20,
20,Delimira Women's Strapless Bras for Bigger Bust Non Padded Underwired Minimiser Bra,4.1 out of 5 stars,"2,592",#21,
21,Delimira Women's Strapless Bras Underwire Support Non Padded Minimiser Bra,4.2 out of 5 stars,"6,690",#22,
22,Triumph Women's Comfort Minimizer W Bra,4.4 out of 5 stars,"2,164",#23,
23,Wacoal Women's Basic Beauty Underwire Bra,4.3 out of 5 stars,"3,854",#24,
24,CASOLACE Women's Seamless Bandeau Minimizer Starpless Bras for Underwire Large Busts,4.3 out of 5 stars,236,#25,
25,Curve Muse Women's Plus Size Minimizer Unlined Wireless Bra with Lace Embroidery,4.0 out of 5 stars,"1,082",#26,
26,Delimira Women's Underwired Full Cup Plus Size Non Padded Seamless Minimiser Bra,3.9 out of 5 stars,230,#27,
27,Delimira Womens Full Cup Underwired Seamless Plus Size Minimizer Bra,4.5 out of 5 stars,722,#28,
28,Triumph Amourette 300 W01,4.1 out of 5 stars,"1,556",#29,
29,Glamorise Women's Magic Lift Active Support Bra Everyday,4.0 out of 5 stars,"2,756",#30,
