,Name,Review_score,Review_number,Rank,Sales,,,,,
0,wirarpa Ladies High Waist Knickers Women's Cotton Briefs Underwear Full Back Coverage Panties Plus Size Multipack,4.6 out of 5 stars,"57,080",#1,20,,,,,
1,Sloggi Women's Basic+ Maxi 3 Pack,4.5 out of 5 stars,"14,245",#2,589,,,,,
2,"SINOPHANT Ladies Cotton Knickers High Waisted Knickers for Women, Full Back Coverage Womens Underwear Multipack",4.4 out of 5 stars,"1,953",#3,76,,,,,
3,Sloggi Women's Slip (Pack of 3),4.3 out of 5 stars,"3,290",#4,1639,,,,,
4,"Iris & Lilly Women's Cotton Cheeky Hipster Knickers, Pack of 5",4.3 out of 5 stars,"1,962",#5,1163,,,,,
5,"Amazon Essentials Women's Cotton Bikini Brief Underwear (Available in Plus Size), Multipacks",4.3 out of 5 stars,"129,706",#6,235,,,,,
6,"Walifrey Period Pants, Menstrual Underwear for Women, Cotton Knickers Multipack with Leakproof Crotch for Heavy Flow Extra Protection",4.2 out of 5 stars,397,#7,784,,,,,
7,"Daisy Dreamer Ladies Briefs Maxi, 100% Cotton Full Comfort Fit Underwear",4.0 out of 5 stars,"7,949",#8,843,,,,,
8,INNERSY Underwear for Women High Waisted Knickers Stretchy Cotton Panties Ladies Full Briefs Pack of 5,4.5 out of 5 stars,"6,805",#9,1206,,,,,
9,"Daisy Dreamer 12 Pack Ladies Briefs Maxi, 100% Cotton Full Comfort Fit Underwear, Size 10-24",4.0 out of 5 stars,"3,142",#10,24,,,,,
10,PULIOU Women Period Pants High waisted Heavy Flow Postpartum Underwear Leakproof Menstrual Knickers Extra Protection Pack of 3,4.4 out of 5 stars,52,#11,12,,,,,
11,YOULEHE Women's High Waist Knickers Ladies Cotton Briefs Underwear Full Coverage Soft Breathable Panties Multipack,4.5 out of 5 stars,"4,738",#12,344,,,,Average,881.4615385
12,HAVVIS Women's High Waist Knickers Ladies Cotton Briefs Underwear Full Back Coverage Panties Plus Size Multipack,4.4 out of 5 stars,"5,009",#13,175,,,,Brief,60%
13,"Sloggi Women's Boxer Briefs, Opaque (Pack of 3)",4.4 out of 5 stars,"1,808",#14,989,,,,Bikini,13%
14,YaShaer Women High Waist Cotton Knickers Briefs Tummy Control Underwear C-Section Recovery Soft Stretch Panties Underpants,4.4 out of 5 stars,"17,660",#15,232,,,,,
15,wirarpa Women's Cotton Knickers Super High waisted Briefs Ladies Underwear Full Coverage Panties 4 Pack,4.5 out of 5 stars,634,#16,0,,,,,
16,INNERSY Underwear for Women Soft Cotton Knickers Ladies Mid Rise Briefs Basic Pants Multipack 6,4.6 out of 5 stars,"4,388",#17,1599,,,,,
17,Sloggi Women's Bikini (Pack of 4),4.6 out of 5 stars,"9,757",#18,1661,,,,,
18,INNERSY Womens Menstrual Period Underwear Leakproof Pants Heavy Flow Extra Protection Cotton Knickers Pack of 3,4.3 out of 5 stars,"3,590",#19,,,,,,
19,INNERSY Women Underwear Cotton Knickers Ladies Mid Rise Briefs Comfy Hipster Panties Pack of 6,4.5 out of 5 stars,"1,915",#20,,,,,,
20,"Iris & Lilly Women's Cotton High Waisted Knickers, Pack of 5",4.5 out of 5 stars,"1,389",#21,,,,,,
21,Ruxia Women's Seamless Boyshort Panties Nylon Spandex Underwear Stretch Boxer Briefs Pack of 5,4.5 out of 5 stars,"2,853",#22,,,,,,
22,"SIMIYA Womens Bikini Briefs, Cotton Knickers Low Rise Hipster Panties Soft Stretchy Female Underwear",4.5 out of 5 stars,"8,452",#23,,,,,,
23,"coskefy Underwear Women, High Waisted Cotton Knickers Ladies Full Briefs Stretchy Soft Panties Slight Tummy Control Pants (Pack of 5)",4.6 out of 5 stars,"1,279",#24,,,,,,
24,"Bonjour 6 Pack Ladies Briefs Maxi, 100% Cotton Full Comfort Fit Underwear, Sizes 10-24",3.4 out of 5 stars,"1,142",#25,,,,,,
25,Sloggi Women's Control Knickers (Pack of 2),4.6 out of 5 stars,"2,618",#26,,,,,,
26,INNERSY Period Pants Heavy Flow Cotton Menstrual Underwear High Waist Pack of 3 (Must Wear with Pad or Tampon),4.5 out of 5 stars,"7,515",#27,,,,,,
27,"Evolyline 6 Packs Soft Cotton High Waist Knicker for Women, Stretchy & Breathable Female Underwear",4.1 out of 5 stars,120,#28,,,,,,
28,"FallSweet Pack of 5,Women Lace Panties Sexy Underwear Ultra Thin Briefs S M L XL",4.1 out of 5 stars,"6,215",#29,,,,,,
29,PULIOU Womens Knickers Ladies High Waisted Cotton Underwear Panties Briefs Full Back Coverage Comfy Stretchy Slight Tummy Contorl Multipack of 5,4.6 out of 5 stars,517,#30,,,,,,
