,Name,Review_score,Review_number,Rank,Sales,,,,
0,"Iris & Lilly Women's Cotton Cheeky Hipster Knickers, Pack of 5",4.3 out of 5 stars,"1,962",#1,1163,,,,
1,wirarpa Ladies Knickers Full Briefs High Waisted Cotton Underwear Panties for Women Multipack,4.6 out of 5 stars,"92,662",#2,13,,,,
2,"wirarpa Women's Boxer Briefs 5.5"" Inseam Slip Shorts Anti Chafing Boyshort Panties for Under Dresses Leggings 4 Pack",4.5 out of 5 stars,"4,173",#3,0,,,,
3,"Iris & Lilly Women's Cotton High Waisted Knickers, Pack of 5",4.5 out of 5 stars,"1,389",#4,0,,,,
4,Ruxia Women's Seamless Boyshort Panties Nylon Spandex Underwear Stretch Boxer Briefs Pack of 5,4.5 out of 5 stars,"2,853",#5,1806,,,,
5,"wirarpa Women's Cotton Boxer Briefs 3"" Inseam Ladies Safety Boxer Shorts Anti Chafing Boyshorts Panties 4 Pack",4.5 out of 5 stars,650,#6,5,,,,
6,Womens Boxer Shorts Seamless Boyshort Panties for Under Dresses Ladies Underwear Shorts 5 Pack,4.8 out of 5 stars,27,#7,37,,,Average,638.2222222
7,PULIOU Womens Knickers Ladies High Waisted Cotton Underwear Panties Briefs Full Back Coverage Comfy Stretchy Slight Tummy Contorl Multipack of 5,4.6 out of 5 stars,517,#8,0,,,Hipster,17%
8,"Love My Fashions 搴?3 Pack Womens Boxers Underwear Shorts High Waisted Seamless knickers for Ladies Stretchy Tummy Control, Breathable Hipster Multipack Shorts for Running, Workout Female Black Briefs",4.3 out of 5 stars,273,#9,231,,,Shorts,53.30%
9,"Iris & Lilly Women's Lace Cheeky Hipster Knickers, Pack of 3",4.3 out of 5 stars,"5,541",#10,1627,,,,
10,Amazingjoys Seamless Slip Shorts Women's Smooth Slip Panties for Under Dresses,4.5 out of 5 stars,"6,519",#11,125,,,,
11,"Libella? 6 Pack,Panties Boxershorts Shorts Women's Hipsters Underpants Underwear Set Cotton 3407",4.3 out of 5 stars,"2,908",#12,127,,,,
12,PULIOU Womens Knickers Ladies Mid Rise Soft Cotton Underwear Panties Briefs Breathable Comfy Stretchy Basic Pants Multipack of 6,4.6 out of 5 stars,"1,518",#13,258,,,,
13,wirarpa Ladies Safety Boxer Shorts Cotton Anti Chafing Long Leg Knickers Underwear Women's Boy Shorts Leggings for Under Dresses Multipack,4.5 out of 5 stars,"26,838",#14,108,,,,
14,SIMIYA 3 Pack Women Long Briefs Anti Chafing Boy Shorts Seamless Stretchy Safety Panty for Under Dresses and Yoga,4.5 out of 5 stars,"6,720",#15,299,,,,
15,Calvin Klein Women's Bikini,4.5 out of 5 stars,246,#16,,,,,
16,INNERSY Ladies Cotton Underwear Low Rise Full Briefs Comfy Sports Knickers Pack of 6,4.6 out of 5 stars,"3,491",#17,,,,,
17,SIHOHAN Womens Anti Chafing Shorts Chub Rub Shorts Lace Slip Shorts Seamless Long Briefs for Under Dresses Skirts,4.3 out of 5 stars,"1,506",#18,,,,,
18,Calvin Klein Women's Modern Cotton - Short Boy Short,4.5 out of 5 stars,"1,492",#19,,,,,
19,INNERSY Underwear for Women Cotton Lace Knickers Multipack Ladies Comfy Midi Briefs Pack of 6,4.6 out of 5 stars,"1,751",#20,,,,,
20,"Love My Fashions 搴?Womens Boxers Underwear Shorts High Waisted Seamless knickers for Ladies Stretchy Tummy Control, Breathable Hipster Multipack Shorts for Running, Workout Female Black Briefs",4.2 out of 5 stars,"1,619",#21,,,,,
21,SIMIYA Women Long Briefs Anti Chafing Boy Shorts Seamless Stretchy Safety Panty for Under Dresses and Yoga,4.3 out of 5 stars,"3,487",#22,,,,,
22,wirarpa 4 Pack Ladies Safety Boxer Shorts Cotton Anti Chafing Underwear Women's Boy Shorts Leggings for Under Dresses,4.5 out of 5 stars,"10,231",#23,,,,,
23,INNERSY Period Pants for Women Cotton Leakproof Knickers Mid-rise Menstrual Underwear Added Protection Pack of 3,4.4 out of 5 stars,"1,307",#24,,,,,
24,Triumph Women's Amourette 300 Maxi X Panties,4.6 out of 5 stars,831,#25,,,,,
25,Sloggi Women's Double Comfort High Rise Short Brief,4.3 out of 5 stars,"1,172",#26,,,,,
26,3 Pairs Ladies 100% Cotton Airtex/Interlock Cuff Leg or Pantee Knickers Briefs UK 10-28,3.8 out of 5 stars,269,#27,,,,,
27,undercover lingerie Luxury Satin French Knickers Deep Lace Decoration Size 10 to 26 (UK Made),4.1 out of 5 stars,392,#28,,,,,
28,"Amazon Essentials Women's Cotton Boyshort Knickers (Available in Plus Size), Pack of 5",4.4 out of 5 stars,293,#29,,,,,
