,Name,Review_score,Review_number,Rank,Score
0,Sloggi Women's Basic+ Maxi 3 Pack,4.5 out of 5 stars,"14,261",1,87
1,wirarpa Ladies High Waist Knickers Women's Cotton Briefs Underwear Full Back Coverage Panties Plus Size Multipack,4.6 out of 5 stars,"57,166",2,86
2,"wirarpa Women's Boxer Briefs 5.5"" Inseam Slip Shorts Anti Chafing Boyshort Panties for Under Dresses Leggings 4 Pack",4.5 out of 5 stars,"4,210",3,85
3,"SINOPHANT Ladies Cotton Knickers High Waisted Knickers for Women, Full Back Coverage Womens Underwear Multipack",4.4 out of 5 stars,"1,958",4,84
4,wirarpa Ladies Knickers Full Briefs High Waisted Cotton Underwear Panties for Women Multipack,4.6 out of 5 stars,"92,762",5,83
5,"Iris & Lilly Women's Cotton Cheeky Hipster Knickers, Pack of 5",4.3 out of 5 stars,"1,972",6,82
6,INNERSY Underwear for Women Soft Cotton Knickers Ladies Mid Rise Briefs Basic Pants Multipack 6,4.6 out of 5 stars,"4,392",7,81
7,YOULEHE Women's High Waist Knickers Ladies Cotton Briefs Underwear Full Coverage Soft Breathable Panties Multipack,4.5 out of 5 stars,"4,751",8,80
8,"Amazon Essentials Women's Cotton Bikini Brief Underwear (Available in Plus Size), Multipacks",4.3 out of 5 stars,"129,872",9,79
9,PULIOU Women Period Pants High waisted Heavy Flow Postpartum Underwear Leakproof Menstrual Knickers Extra Protection Pack of 3,4.4 out of 5 stars,55,10,78
10,HAVVIS Women's High Waist Knickers Ladies Cotton Briefs Underwear Full Back Coverage Panties Plus Size Multipack,4.4 out of 5 stars,"5,048",11,77
11,"Daisy Dreamer Ladies Briefs Maxi, 100% Cotton Full Comfort Fit Underwear",4.0 out of 5 stars,"7,956",12,76
12,INNERSY Underwear for Women High Waisted Knickers Stretchy Cotton Panties Ladies Full Briefs Pack of 5,4.5 out of 5 stars,"6,804",13,75
13,"Walifrey Period Pants, Menstrual Underwear for Women, Cotton Knickers Multipack with Leakproof Crotch for Heavy Flow Extra Protection",4.2 out of 5 stars,399,14,74
14,Sloggi Women's Slip (Pack of 3),4.4 out of 5 stars,"3,295",15,73
15,INNERSY Womens Menstrual Period Underwear Leakproof Pants Heavy Flow Extra Protection Cotton Knickers Pack of 3,4.3 out of 5 stars,"3,592",16,72
16,wirarpa Women's Cotton Knickers Super High waisted Briefs Ladies Underwear Full Coverage Panties 4 Pack,4.5 out of 5 stars,658,17,71
